Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
11|1|Огненные пчёлы|5^36|110.00|0|110.00||||||Р3010|Р3010|1|1|12|10|30||||||4.500000|2.800000|2.800000|0.266667||1|||0|2|120|за 1 шт.|уп.|5000|Взлетает, жужжит, разбрасывает искры, вспыхивает зеленым огоньком|Взлетает, жужжит, разбрасывает искры, вспыхивает зеленым огоньком<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/wIvq8rgRYOk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3010.jpg^http://presta6.newogonek.ru/images/р3010-1.jpg|1|Фасовка:бл.:1||new||||2|1^4^5^6|1|1|
12|1|Весенняя бабочка|5^36|120.00|0|120.00||||||Р3020|Р3020|1|1|12|10|16||||||6.700000|3.600000|3.600000|0.500000||1|||0|2|120|за 1 шт.|уп.|5000|Взлетает с шумом, разбрасывает искры, вспыхивает яркой золотой звездой.|Взлетает с шумом, разбрасывает искры, вспыхивает яркой золотой звездой.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/ZdxQslAjxWs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3020.jpg^http://presta6.newogonek.ru/images/р3020-1.jpg|1|Фасовка:бл.:1||new||||2|1^4^5^6|1|1|
13|1|Веселый жук|5^35|130.00|0|130.00||||||Р3520|Р3520|1|1|6|12|20||||||5.300000|1.600000|1.600000|0.800000||1|||1|2|6|за 1 уп.из 6 шт.|уп.|5000|Вертится, образуя круг красного, зеленого, желтого огня|Вертится, образуя круг красного, зеленого, желтого огня<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/x2F0liz4nsg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3520.jpg^http://presta6.newogonek.ru/images/р3520-1.jpg^http://presta6.newogonek.ru/images/р3520-2.jpg|1|Фасовка:бл.:1||new||||2|1^4^5^6|1|1|
14|1|Супер жук|5^35|140.00|0|140.00||||||Р3530|Р3530|1|1|6|12|20||||||5.300000|1.600000|1.600000|0.750000||1|||1|2|6|за 1 уп.из 6 шт.|уп.|5000|Вертится, образуя круг красного, зеленого, желтого огня, хлопает|Вертится, образуя круг красного, зеленого, желтого огня, хлопает<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/bthR1d1K3kY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3530.jpg^http://presta6.newogonek.ru/images/р3530-1.jpg^http://presta6.newogonek.ru/images/р3530-2.jpg|1|Фасовка:бл.:1||new||||2|1^4^5^6|1|1|
15|1|Жучок-светлячок|5^35|150.00|0|150.00||||||РС150|РС150|1|3|9|10|36||||||8.500000|2.300000|6.300000|0.388889||1|||1|2|9|за 1 уп.из 9 шт.|уп.|5000|Крутится с разбрасыванием искр, останавливается и горит пульсирующим огнем|Крутится с разбрасыванием искр, останавливается и горит пульсирующим огнем<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/d411LUtydws?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс150.jpg^http://presta6.newogonek.ru/images/рс150-1.jpg^http://presta6.newogonek.ru/images/рс150-2.jpg^http://presta6.newogonek.ru/images/рс150-3.jpg^http://presta6.newogonek.ru/images/рс150-4.jpg|1|Фасовка:бл.:1||new||||2|1^4^5^6|1|1|
16|1|Звёздный десант|5^36|160.00|0|160.00||||||РС160|РС160|1|3|1|1|12||||||36.000000|15.000000|15.000000|0.666667||1|||0|0|1|за 1 шт.|уп.|5000|Мощная форсовая трасса со свистом и  выбросом букетика из разноцветных  или трещащих огней.|Мощная форсовая трасса со свистом и  выбросом букетика из разноцветных  или трещащих огней.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/S8kZChg84IM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс160.jpg^http://presta6.newogonek.ru/images/рс160-1.jpg^http://presta6.newogonek.ru/images/рс160-2.jpg|1|Фасовка:компл:1||new||||2|1^4^5^6|1|1|
17|1|Гюльчатай|6|170.00|0|170.00||||||Р4222|Р4222|1|1|4|1|36||||||15.400000|5.000000|5.000000|0.458333||1|||0|1|4|за 1 шт.|уп.|5000|пылает ослепительным потоком золотых искр и зеленых огней, с переходом в поток белоснежных искр, а под конец - поток белых трещащих разлетающихся искр и красных огней|пылает ослепительным потоком золотых искр и зеленых огней, с переходом в поток белоснежных искр, а под конец - поток белых трещащих разлетающихся искр и красных огней<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/jlwPWD7tk04?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р4222.jpg^http://presta6.newogonek.ru/images/р4222-1.jpg^http://presta6.newogonek.ru/images/р4222-2.jpg^http://presta6.newogonek.ru/images/р4222-3.jpg|1|Фасовка:уп.:1||new||||2|1^4^5^6|1|1|
18|1|Птица|6|180.00|0|180.00||||||Р4390|Р4390|1|1|1|1|40||||||17.500000|9.800000|9.800000|0.362500||1|||0|0|1|за 1 шт.|уп.|5000|1. Поток золотых искр и белые вспышки. 2. Поток золотых искр и красные огни. 3. Белые вспышки и зеленые огни. 4. Поток золотых искр и треск.|1. Поток золотых искр и белые вспышки. 2. Поток золотых искр и красные огни. 3. Белые вспышки и зеленые огни. 4. Поток золотых искр и треск.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/Gdu_J_IebYA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р4390.jpg^http://presta6.newogonek.ru/images/р4390-1.jpg^http://presta6.newogonek.ru/images/р4390-2.jpg^http://presta6.newogonek.ru/images/р4390-3.jpg^http://presta6.newogonek.ru/images/р4390-4.jpg|1|Фасовка:шт.:1||new||||2|1^4^5^6|1|1|
19|1|Фонтан|6^43^44|190.00|0|190.00||||||Р4816|Р4816|1|1|1|1|48||||||11.500000|7.200000|7.200000|0.114583||1|||0|0|1|за 1 шт.|уп.|5000|поджигаете центральный фонтан - и под звуки "Happy birthday to you!" цветок медленно раскрывается, при этом на каждом лепестке загораются свечки. Отличием является цвет - лотос полностью покрыт золотистой краской, что придает ему еще более праздничный вид!|поджигаете центральный фонтан - и под звуки "Happy birthday to you!" цветок медленно раскрывается, при этом на каждом лепестке загораются свечки. Отличием является цвет - лотос полностью покрыт золотистой краской, что придает ему еще более праздничный вид!<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/TQX5lF8lSDo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р4816.jpg^http://presta6.newogonek.ru/images/р4816-1.jpg|1|Фасовка:шт.:1||new||||2|1^4^5^6|1|1|
20|1|Зашибись|6^45|200.00|0|200.00||||||РС171|РС171|1|3|1|1|12||||||17.100000|14.600000|14.600000|1.666667||1|||0|0|1|за 1 шт.|уп.|5000|Поток золотых трещащих разлетающихся искр; красных и зеленых огней. 2. Красные огни и швермерные элементы. 3. Зеленые огни и серебряные искристые форсы. 4. Красные огни и множество трещащих сфер.|Поток золотых трещащих разлетающихся искр; красных и зеленых огней. 2. Красные огни и швермерные элементы. 3. Зеленые огни и серебряные искристые форсы. 4. Красные огни и множество трещащих сфер.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/k9bt-UM3QFo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс171.jpg^http://presta6.newogonek.ru/images/rc171-1.jpg^http://presta6.newogonek.ru/images/рс171-1.jpg^http://presta6.newogonek.ru/images/rc171-2.jpg^http://presta6.newogonek.ru/images/рс171-2.jpg^http://presta6.newogonek.ru/images/rc171-3.jpg^http://presta6.newogonek.ru/images/рс171-3.jpg^http://presta6.newogonek.ru/images/rc171-4.jpg^http://presta6.newogonek.ru/images/рс171-4.jpg^http://presta6.newogonek.ru/images/rc171-5.jpg^http://presta6.newogonek.ru/images/рс171-5.jpg^http://presta6.newogonek.ru/images/rc171-6.jpg^http://presta6.newogonek.ru/images/рс171-6.jpg|1|Фасовка:шт.:1^Количество залпов:12:2^Калибр:1:3||new||||2|1^4^5^6|1|1|
21|1|ПироMAN и пироWOMAN|6^45|210.00|0|210.00||||||РС174|РС174|1|3|1|1|4||||||26.000000|17.000000|22.500000|2.500000||1|||0|0|1|за 1 шт.|уп.|5000|Поток серебряных искр и синих огней.<BR>Поток серебряных огней.<BR>Поток разлетающихся искр, красных, зеленых и синих огней.<BR>Поток разлетающихся серебряных огней.<BR>Красные и серебряные мерцающие огни.<BR>Зеленые, синие, фиолетовые и серебряные мерцающие огни.<BR>Желтые, оранжевые, синие и серебряные мерцающие огни.<BR>Золотые форсы, красные, синие и серебряные мерцающие огни.|Поток серебряных искр и синих огней.<BR>Поток серебряных огней.<BR>Поток разлетающихся искр, красных, зеленых и синих огней.<BR>Поток разлетающихся серебряных огней.<BR>Красные и серебряные мерцающие огни.<BR>Зеленые, синие, фиолетовые и серебряные мерцающие огни.<BR>Желтые, оранжевые, синие и серебряные мерцающие огни.<BR>Золотые форсы, красные, синие и серебряные мерцающие огни.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/5nEGh_oASKA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс174.jpg^http://presta6.newogonek.ru/images/рс174-1.jpg^http://presta6.newogonek.ru/images/рс174-2.jpg^http://presta6.newogonek.ru/images/рс174-3.jpg^http://presta6.newogonek.ru/images/рс174-4.jpg^http://presta6.newogonek.ru/images/рс174-5.jpg^http://presta6.newogonek.ru/images/рс174-6.jpg^http://presta6.newogonek.ru/images/рс174-7.jpg|1|Фасовка:шт.:1^Количество залпов:18:2^Калибр:1.2:3||new||||2|1^4^5^6|1|1|
22|1|Хрустальное скрдце|6^45|220.00|0|220.00||||||РС175|РС175|1|3|1|1|3||||||37.500000|19.000000|23.500000|5.333333||1|||0|0|1|за 1 шт.|уп.|5000|1. красное пламя;<BR>2. поток серебряных искр;<BR>3. поток зеленых и разлетающихся трещащих огней;<BR>4. поток золотых искр;<BR>5. поток красных, зеленых и разлетающихся трещащих серебряных огней. <BR>Верхний уровень. Разноцветные кометы разрываются сферами из:<BR>6. серебряных мерцающих и красных с серебряными форсами огней; <BR>7. золотых форсов и множества трещащих искр;<BR>8. золотых искристых форсов, синих и зеленых огней;<BR>Нижний уровень - фонтан. <BR>9. поток золотых звездочек;<BR>10. поток красных, зеленых и разлетающихся серебряных огней. <BR>Верхний уровень. Разноцветные кометы разрываются сферами из:<BR>11. серебряных мерцающих и красных с золотыми форсами огней;<BR>12. красных огней и серебряных искристых форсов;<BR>13. серебряных форсов и множества трещащих сфер (залп);<BR>1|1. красное пламя;<BR>2. поток серебряных искр;<BR>3. поток зеленых и разлетающихся трещащих огней;<BR>4. поток золотых искр;<BR>5. поток красных, зеленых и разлетающихся трещащих серебряных огней. <BR>Верхний уровень. Разноцветные кометы разрываются сферами из:<BR>6. серебряных мерцающих и красных с серебряными форсами огней; <BR>7. золотых форсов и множества трещащих искр;<BR>8. золотых искристых форсов, синих и зеленых огней;<BR>Нижний уровень - фонтан. <BR>9. поток золотых звездочек;<BR>10. поток красных, зеленых и разлетающихся серебряных огней. <BR>Верхний уровень. Разноцветные кометы разрываются сферами из:<BR>11. серебряных мерцающих и красных с золотыми форсами огней;<BR>12. красных огней и серебряных искристых форсов;<BR>13. серебряных форсов и множества трещащих сфер (залп);<BR>14. зеленых огней и золотых форсов с золотыми искрами.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/BEGkg-lb9H4?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс175.jpg^http://presta6.newogonek.ru/images/рс175-1.jpg^http://presta6.newogonek.ru/images/рс175-2.jpg^http://presta6.newogonek.ru/images/рс175-3.jpg^http://presta6.newogonek.ru/images/рс175-4.jpg^http://presta6.newogonek.ru/images/рс175-5.jpg^http://presta6.newogonek.ru/images/рс175-6.jpg^http://presta6.newogonek.ru/images/рс175-7.jpg^http://presta6.newogonek.ru/images/рс175-8.jpg^http://presta6.newogonek.ru/images/рс175-9.jpg^http://presta6.newogonek.ru/images/рс175-10.jpg^http://presta6.newogonek.ru/images/рс175-11.jpg^http://presta6.newogonek.ru/images/рс175-12.jpg^http://presta6.newogonek.ru/images/рс175-13.jpg|1|Фасовка:шт.:1^Количество залпов:24:2^Калибр:1.2:3||new||||2|1^4^5^6|1|1|
23|1|Бурный Везувий|6^42|230.00|0|230.00||||||РС461|РС461|1|3|4|1|10||||||20.300000|8.200000|8.200000|1.500000||1|||0|1|4|за 1 шт.|уп.|5000|Красное пламя в основании и поток золотых звездочек.<BR>Поток серебряных искр.<BR>Поток разлетающихся трещащих искр, красных и зеленых огней.|Красное пламя в основании и поток золотых звездочек.<BR>Поток серебряных искр.<BR>Поток разлетающихся трещащих искр, красных и зеленых огней.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/7eM6l793Ibw?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс461.jpg^http://presta6.newogonek.ru/images/рс461-1.jpg^http://presta6.newogonek.ru/images/рс461-2.jpg^http://presta6.newogonek.ru/images/рс461-3.jpg^http://presta6.newogonek.ru/images/рс461-4.jpg|1|Фасовка:уп.:1||new||||2|1^4^5^6|1|1|
24|1|Дружба народов|6^43|240.00|0|240.00||||||РС492|РС492|1|3|1|1|8||||||21.500000|19.500000|19.500000|1.000000||1|||0|0|1|за 1 шт.|уп.|5000|11 эффектов.<BR>1. красное пламя в основании и поток серебряных звездочек;<BR>2.  поток красных, зеленых и разлетающихся трещащих серебряных огней;<BR>3. зеленое пламя в основании и поток серебряных звездочек;<BR>4. поток синих, зеленых и разлетающихся трещащих серебряных огней;<BR>5. фиолетовое пламя в основании и поток серебряных звездочек;<BR>6.  поток красных, зеленых и разлетающихся трещащих серебряных искр;<BR>7. синее пламя в основании и  поток серебряных звездочек;<BR>8.  поток красных, зеленых и разлетающихся трещащих золотых огней;<BR>9. желтое  пламя в основании и поток серебряных огней;<BR>10. поток желтых, фиолетовых и разлетающихся шуршащих серебряных огней;<BR>11.  вертикальный фонтан: - синее пламя в основании и поток серебряных огней, потом поток красных, синих  и зеленых|11 эффектов.<BR>1. красное пламя в основании и поток серебряных звездочек;<BR>2.  поток красных, зеленых и разлетающихся трещащих серебряных огней;<BR>3. зеленое пламя в основании и поток серебряных звездочек;<BR>4. поток синих, зеленых и разлетающихся трещащих серебряных огней;<BR>5. фиолетовое пламя в основании и поток серебряных звездочек;<BR>6.  поток красных, зеленых и разлетающихся трещащих серебряных искр;<BR>7. синее пламя в основании и  поток серебряных звездочек;<BR>8.  поток красных, зеленых и разлетающихся трещащих золотых огней;<BR>9. желтое  пламя в основании и поток серебряных огней;<BR>10. поток желтых, фиолетовых и разлетающихся шуршащих серебряных огней;<BR>11.  вертикальный фонтан: - синее пламя в основании и поток серебряных огней, потом поток красных, синих  и зеленых огней и серебряных трещащих искр; 3 горизонтальных фонтана – красное пламя в основании и поток серебряных огней.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/KxxnkoTPfDs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс492.jpg|1|Фасовка:шт.:1||new||||2|1^4^5^6|1|1|
25|1|Римская свеча-30|7^46^108^55^110^113|250.00|0|250.00||||||Р5080|Р5080|1|1|12|1|36||||||54.000000|1.200000|1.200000|0.527778||1|||0|1|12|за 1 шт.|уп.|5000|3 эффекта: 1. Красные звезды. 2. Зеленые звезды. 3. Оранжевые звезды (до 15 м)|3 эффекта: 1. Красные звезды. 2. Зеленые звезды. 3. Оранжевые звезды (до 15 м)<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/2QddyXgzbT4?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р5080.jpg^http://presta6.newogonek.ru/images/р5080-1.jpg^http://presta6.newogonek.ru/images/р5080-2.jpg^http://presta6.newogonek.ru/images/р5080-3.jpg|1|Фасовка:уп.:1^Количество залпов:30:2^Калибр:0.3:3||new||||2|1^4^5^6|1|1|
26|1|Метелица|7^47^108^55^110^111|260.00|0|260.00||||||Р5300|Р5300|1|1|4|1|36||||||47.000000|2.100000|2.100000|0.416667||1|||0|1|4|за 1 шт.|уп.|5000|Выстреливает белые искристые кометы, переходящие в искристые вертушки с треском.|Выстреливает белые искристые кометы, переходящие в искристые вертушки с треском.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/sW0ykWhJdeE?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р5300.jpg^http://presta6.newogonek.ru/images/р5300-1.jpg^http://presta6.newogonek.ru/images/р5300-2.jpg|1|Фасовка:уп.:1^Количество залпов:6:2^Калибр:0.5:3||new||||2|1^4^5^6|1|1|
27|1|Щелкунчик|7^47^108^50^110^112|270.00|0|270.00||||||Р5543|Р5543|1|1|2|1|24||||||53.000000|3.400000|3.400000|0.458333||1|||0|1|2|за 1 шт.|уп.|5000|2 эффекта: 1. Красные звезды с белыми искристыми хвостами и треском. 2. Зеленое мерцание.|2 эффекта: 1. Красные звезды с белыми искристыми хвостами и треском. 2. Зеленое мерцание.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/2XNG4Z8attk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р5543.jpg^http://presta6.newogonek.ru/images/р5543-1.jpg^http://presta6.newogonek.ru/images/р5543-2.jpg^http://presta6.newogonek.ru/images/р5543-3.jpg|1|Фасовка:уп.:1^Количество залпов:8:2^Калибр:0.8:3||new||||2|1^4^5^6|1|1|
